	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region	34484.0	4798.0	7248.0	6932.0	5721.0	0.0	6981.0	6631.0	0.0	6845.0	688.0	1597.0	0.0	1544.0	1739.0	0.0	1709.0
Benin_Atlantique-Dept	0.0	116043.0	18619.0	17320.0	13785.0	0.0	16907.0	15920.0	0.0	16563.0	792.0	1841.0	0.0	1368.0	1878.0	0.0	1961.0
Ghana_Ashanti-Region	0.0	0.0	77901.0	70596.0	52080.0	0.0	52340.0	44211.0	0.0	37960.0	1947.0	4063.0	0.0	2792.0	4077.0	0.0	3722.0
Nigeria_Ogun-State	0.0	0.0	0.0	95008.0	48015.0	0.0	50734.0	42705.0	0.0	36103.0	1838.0	3875.0	0.0	2645.0	3602.0	0.0	3571.0
Cameroon_Adamawa	0.0	0.0	0.0	0.0	127711.0	0.0	40666.0	34155.0	0.0	28856.0	1422.0	3054.0	0.0	2064.0	2907.0	0.0	2942.0
CAR_Ombella-MPoko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRC_Haut-Uele	0.0	0.0	0.0	0.0	0.0	0.0	48798.0	75656.0	0.0	68196.0	1901.0	3979.0	0.0	2926.0	4335.0	0.0	3847.0
Uganda_Eastern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46694.0	0.0	87166.0	1717.0	3895.0	0.0	3064.0	4481.0	0.0	3672.0
Kenya_Western-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kenya_Nyanza-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60308.0	1752.0	4198.0	0.0	3732.0	5454.0	0.0	4082.0
Gabon_Haut-Ogooue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22803.0	7976.0	0.0	733.0	1297.0	0.0	828.0
DRC_Kinshasa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29727.0	0.0	1852.0	3171.0	0.0	2114.0
Tanzania_Morogoro-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Cabo-Delgado	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12863.0	20657.0	0.0	7875.0
Zambia_Eastern-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14686.0	0.0	6824.0
Malawi_Southern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Maputo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42879.0
